RA,TURMA
11201920628,NB1LIE0001-19SA
11202210058,DA1ESHC008-21SB
11202210058,DA1ESHC012-21SB
11202210058,DA1ESHP012-13SB
11202210058,DA1ESHC032-17SB
11202210058,DAESHP030-14SB
11202310024,NAESTE030-17SA
11202310024,NAESTE033-17SA
11202310024,NANHZ3010-15SA
11201721262,NA1ESHP009-13SB
11201721262,NA1BIN0406-15SB
11201721262,NA1ESHP021-13SB
11202021444,NB1BCL0306-15SB
11202130517,NAESTS004-17SB
11202130517,NAESTS009-17SB
11202130517,NA1ESHP019-13SB
21004216,NAESTS012-17SB
11202130059,DA2ESTO001-17SB
11202130059,DA1BIQ0602-15SB
11202130059,DB1ESTO011-17SB
11202130059,DA1BCK0104-15SB
11202130059,DA1ESTO005-17SB
11202130059,DA1ESTA014-17SA
11115813,NA1MCTA003-17SA
11201921532,NA1ESTU040-17SA
11201921532,DA1ESTU031-17SA
11201921532,NA1ESTU034-17SA
11201921532,NA1ESTU036-17SA
11201921532,NA1ESTU035-17SA
11201921532,DAESTU038-17SA
11202020659,NA5BIS0005-15SB
11042215,NA1MCTB001-17SA
11042215,NBESTA008-17SA
11042215,NA1ESTO014-17SA
11201810897,NA1ESTO902-17SA
11201810897,NB1BCJ0205-15SB
11201810897,NB1ESTO011-17SB
11201810897,NA1BCK0104-15SA
11201810897,NA1ESTO005-17SB
11201810897,NB2BCM0505-22SA
11088215,NA2MCTA007-17SA
11201822491,NA3BCJ0205-15SB
11201822491,NA2BCN0407-15SA
11202230885,NB1BCN0407-15SA
11202230885,NA1BIN0406-15SA
11202230885,NB3BCM0505-22SA
11201921157,DA1MCTA016-13SA
11201921157,DA1MCTA024-13SA
11201921157,DA2MCTA025-13SA
11201921157,DAMCZA030-17SA
11202021788,DA1ESTA002-17SA
11202021788,DA1ESTI002-17SA
11202021788,DB1ESTO011-17SA
11202021788,DA1ESTA003-17SA
11201720026,NA1ESZA011-17SA
11201720026,NAESZI016-17SA
11201812126,DANHH2007-13SB
11201812126,DANHH2035-13SB
11201812126,DANHZ2052-11SB
11201812126,NA1ESHR015-21SB
11202230584,NA1BIK0102-15SA
11202230584,NB9BCJ0205-15SA
11202230584,NB2BIN0406-15SA
11202230584,NA1ESTO005-17SA
11201921320,DA1MCZC010-15SB
11201921320,NA1MCTC001-15SB
13201910049,NAESHC035-21SB
13201910049,NA1ESHC008-21SB
13201910049,NA1ESHC012-21SB
13201910049,NA1ESHC032-17SB
11201812264,DA1ESTA002-17SA
11201812264,DA1ESTI002-17SA
11201812264,NB1ESTO902-17SB
11201812264,NA1ESTO017-17SA
11201812264,DAESTA020-17SA
11201812264,NB1ESTO012-17SA
11201812264,NB2ESTA003-17SA
13201910027,NA1ESHR005-13SB
13201910027,NA1ESHC026-21SB
11201810216,NANHT1002-15SA
11201810216,NA1ESZU022-17SA
11201810216,NA1NHT5004-15SA
11201810216,NA1ESZT009-17SB
11202230381,NA1BCJ0205-15SA
11202230381,NA1BCN0407-15SA
11202230381,NA2BCM0505-22SA
11201921324,NA1MCTB012-13SA
11201920486,NA2MCTA007-17SA
11201920486,NA2MCTA018-13SA
11202020212,DB5BIS0005-15SB
11202020212,DAESHC035-21SB
11202020212,DA1ESHC038-17SB
11202020212,DA1ESTO013-17SB
21059614,DA1ESHC027-21SB
11201920779,DAESZG036-17SB
11201920779,DAESTG004-17SB
11201920779,DAESZG018-17SB
11201920779,DAESTG025-17SB
11201922132,NB9BCJ0205-15SA
11201922132,NA4BCN0407-15SA
11201922132,NB1BIN0406-15SA
11201811638,NA1ESZA011-17SA
11201811638,NA1ESTI002-17SA
11201811638,DAESTA013-17SA
11202230557,DA1BCS0001-15SA
11202230557,DA1NHI5002-15SA
11202230557,DA1BIK0102-15SA
11202230557,DA1BHQ0002-15SA
11202230557,DA1LIE0001-19SA
11202111826,DANHZ6008-18SA
11202111826,DAESZG018-17SB
11202111826,DA2BCK0104-15SA
11202230476,DA1BIR0004-15SB
